CITIFILE A.01.00
#NA VERSION HP8722ES.07.74: Oct 30, 2002
NAME DATA
VAR FREQ MAG 201
DATA S[1,1] RI
DATA S[2,1] RI
DATA S[1,2] RI
DATA S[2,2] RI
SEG_LIST_BEGIN
SEG 50000000 4500000000 201
SEG_LIST_END
BEGIN
1.01397E0,-6.31103E-2
9.22119E-1,0.27893E-1
9.68627E-1,-6.52465E-2
1.04327E0,-1.52160E-1
9.60144E-1,-1.71569E-1
1.06225E0,-1.5448E-1
1.04956E0,-2.44689E-1
1.00128E0,-2.65014E-1
1.04956E0,-2.95898E-1
9.32128E-1,-3.42712E-1
9.23950E-1,-2.55249E-1
9.32495E-1,-3.80004E-1
8.82293E-1,-4.12262E-1
8.87451E-1,-4.36035E-1
8.35510E-1,-4.50744E-1
8.17199E-1,-4.31884E-1
8.58642E-1,-5.74096E-1
7.95440E-1,-6.17095E-1
8.10150E-1,-5.96496E-1
8.91754E-1,-6.13037E-1
7.70019E-1,-6.53442E-1
7.59338E-1,-6.62963E-1
7.30346E-1,-7.10388E-1
6.82983E-1,-6.94000E-1
6.73522E-1,-7.20733E-1
6.57806E-1,-7.72186E-1
6.30920E-1,-7.70690E-1
5.70220E-1,-7.94494E-1
4.78057E-1,-7.41851E-1
5.34759E-1,-8.26843E-1
4.93988E-1,-8.99261E-1
4.51110E-1,-8.64502E-1
4.64447E-1,-8.62426E-1
4.29962E-1,-8.96453E-1
4.07562E-1,-9.51538E-1
3.44696E-1,-9.95086E-1
3.51562E-1,-8.85681E-1
3.61999E-1,-8.36181E-1
2.83752E-1,-9.43359E-1
2.45391E-1,-9.21295E-1
2.34924E-1,-9.52331E-1
1.20361E-1,-9.52606E-1
1.21002E-1,-9.38110E-1
1.52404E-1,-9.86084E-1
1.11084E-1,-9.84863E-1
0.55725E-1,-1.00073E0
-4.04663E-2,-9.77966E-1
0.38452E-1,-9.86084E-1
1.18652E-1,-1.02697E0
-1.84326E-2,-1.00665E0
-9.73510E-2,-9.09729E-1
-1.04126E-1,-9.43603E-1
-1.19751E-1,-9.62646E-1
-1.34460E-1,-9.72900E-1
-1.94763E-1,-9.50134E-1
-2.08923E-1,-9.11682E-1
-2.29919E-1,-9.60815E-1
-2.99377E-1,-9.47937E-1
-2.84179E-1,-9.33166E-1
-3.14086E-1,-9.70153E-1
-3.54553E-1,-9.25231E-1
-3.38501E-1,-9.20043E-1
-3.86291E-1,-9.29138E-1
-4.10461E-1,-8.81347E-1
-4.32922E-1,-8.84643E-1
-4.43786E-1,-8.57666E-1
-3.97949E-1,-8.44848E-1
-4.93286E-1,-8.42590E-1
-5.99060E-1,-7.67028E-1
-5.70190E-1,-7.73193E-1
-5.70739E-1,-7.82775E-1
-6.00402E-1,-7.82104E-1
-6.34704E-1,-7.75329E-1
-6.83532E-1,-7.30773E-1
-6.42578E-1,-7.21313E-1
-6.60034E-1,-7.33764E-1
-6.92810E-1,-6.81701E-1
-7.08557E-1,-6.80481E-1
-7.35473E-1,-6.49169E-1
-6.65283E-1,-5.52795E-1
-6.97082E-1,-5.89355E-1
-7.86804E-1,-5.66589E-1
-7.78564E-1,-5.46752E-1
-7.96997E-1,-5.14160E-1
-7.81738E-1,-4.38903E-1
-8.31909E-1,-4.99389E-1
-8.93005E-1,-5.06958E-1
-8.69079E-1,-4.41589E-1
-8.51501E-1,-4.25537E-1
-8.77685E-1,-4.04357E-1
-8.88610E-1,-4.21142E-1
-9.32983E-1,-4.03320E-1
-8.83789E-1,-2.91992E-1
-8.38134E-1,-2.75146E-1
-9.32800E-1,-2.87841E-1
-1.00482E0,-2.69592E-1
-9.45312E-1,-2.37426E-1
-8.96789E-1,-1.74865E-1
-9.06494E-1,-1.73828E-1
-1.02520E0,-1.84204E-1
-1.02496E0,-1.11328E-1
-9.39147E-1,-1.20880E-1
-9.60327E-1,-1.04309E-1
-9.64843E-1,-7.28149E-2
-9.99328E-1,-9.83886E-2
-9.68383E-1,-2.00195E-2
-9.08783E-1,0.37689E-1
-9.35882E-1,0.33752E-1
-9.88708E-1,0.47790E-1
-9.62371E-1,0.70526E-1
-9.48394E-1,1.53533E-1
-8.96514E-1,1.96685E-1
-9.70886E-1,1.40167E-1
-1.05419E0,1.54052E-1
-9.38354E-1,2.05688E-1
-9.37927E-1,2.09472E-1
-9.29260E-1,2.51037E-1
-9.26452E-1,2.44506E-1
-9.40490E-1,2.88391E-1
-8.43963E-1,3.47442E-1
-8.25134E-1,3.41369E-1
-8.84155E-1,3.77105E-1
-8.55377E-1,4.09057E-1
-8.60107E-1,4.18792E-1
-8.56903E-1,5.04272E-1
-8.34228E-1,4.74395E-1
-8.58215E-1,4.62280E-1
-8.33557E-1,5.01281E-1
-8.24279E-1,5.36193E-1
-8.04290E-1,5.81573E-1
-7.52258E-1,5.49102E-1
-7.59399E-1,5.43914E-1
-7.34039E-1,6.09466E-1
-6.90460E-1,6.49780E-1
-7.00256E-1,6.38977E-1
-7.18200E-1,6.37085E-1
-6.86004E-1,6.58111E-1
-6.46118E-1,7.16308E-1
-6.09466E-1,7.15301E-1
-6.22619E-1,7.2052E-1
-5.96588E-1,7.51556E-1
-5.74890E-1,7.55371E-1
-5.66589E-1,7.83630E-1
-5.35736E-1,7.89672E-1
-5.39794E-1,7.48565E-1
-5.15716E-1,7.93884E-1
-4.54193E-1,8.26507E-1
-4.4104E-1,8.2724E-1
-4.13940E-1,8.24615E-1
-3.93798E-1,8.09509E-1
-3.78753E-1,8.81225E-1
-3.26049E-1,9.14978E-1
-3.25958E-1,8.88885E-1
-3.25317E-1,9.10125E-1
-2.77740E-1,9.08477E-1
-2.70752E-1,9.23614E-1
-2.34527E-1,9.36737E-1
-1.97723E-1,9.11041E-1
-1.79473E-1,9.17205E-1
-1.47857E-1,9.23492E-1
-1.32232E-1,9.12139E-1
-9.7229E-2,9.35974E-1
-5.82580E-2,9.25048E-1
-4.76379E-2,9.28649E-1
-5.37109E-3,9.42352E-1
0.24261E-1,9.26178E-1
0.30059E-1,9.25842E-1
0.63903E-1,9.26574E-1
0.99182E-1,9.32128E-1
1.52343E-1,9.32800E-1
1.40380E-1,9.15954E-1
1.46118E-1,9.09301E-1
1.86950E-1,9.10522E-1
2.13012E-1,8.78295E-1
2.31201E-1,8.81774E-1
