CITIFILE A.01.00
#NA VERSION HP8722ES.07.74: Oct 30, 2002
NAME FORMATTED
VAR FREQ MAG 201
DATA S[1,1] RI
DATA S[2,1] RI
DATA S[1,2] RI
DATA S[2,2] RI
SEG_LIST_BEGIN
SEG 50000000 4500000000 201
SEG_LIST_END
BEGIN
9.98443E-1,-6.32629E-2
9.90692E-1,-7.87963E-2
9.97558E-1,-9.18579E-2
1.00262E0,-1.17858E-1
1.00073E0,-1.46728E-1
1.01886E0,-1.93054E-1
1.01361E0,-2.32788E-1
9.96551E-1,-2.47558E-1
9.92584E-1,-2.77374E-1
9.66827E-1,-3.14239E-1
9.43664E-1,-3.41583E-1
9.19952E-1,-3.68164E-1
8.86749E-1,-3.87573E-1
8.76251E-1,-4.20684E-1
8.57879E-1,-4.72412E-1
8.40362E-1,-5.03356E-1
8.41705E-1,-5.32074E-1
8.24920E-1,-5.63140E-1
8.13995E-1,-5.93475E-1
8.01544E-1,-6.33270E-1
7.76458E-1,-6.50451E-1
7.58972E-1,-6.65283E-1
7.37182E-1,-6.90399E-1
6.99890E-1,-7.12951E-1
6.71325E-1,-7.33123E-1
6.31134E-1,-7.44445E-1
6.03149E-1,-7.61108E-1
5.76110E-1,-7.90466E-1
5.44311E-1,-8.11004E-1
5.16662E-1,-8.23944E-1
4.87915E-1,-8.41949E-1
4.64660E-1,-8.64410E-1
4.45556E-1,-9.00604E-1
4.19342E-1,-9.09057E-1
4.00451E-1,-9.00054E-1
3.76525E-1,-9.11315E-1
3.45214E-1,-9.19769E-1
3.17291E-1,-9.27764E-1
2.76245E-1,-9.27948E-1
2.44262E-1,-9.19860E-1
2.15820E-1,-9.34234E-1
1.79962E-1,-9.55474E-1
1.47338E-1,-9.63653E-1
1.06475E-1,-9.71801E-1
0.78369E-1,-9.76623E-1
0.78125E-1,-9.87304E-1
0.58166E-1,-9.97131E-1
0.22460E-1,-9.86267E-1
-8.30078E-3,-9.80377E-1
-3.34167E-2,-9.74914E-1
-4.6875E-2,-9.74243E-1
-8.02002E-2,-9.69116E-1
-1.27014E-1,-9.52667E-1
-1.57257E-1,-9.46167E-1
-1.86157E-1,-9.51629E-1
-2.11914E-1,-9.50164E-1
-2.39715E-1,-9.51232E-1
-2.71209E-1,-9.44458E-1
-2.91778E-1,-9.40185E-1
-3.17169E-1,-9.42688E-1
-3.43017E-1,-9.31366E-1
-3.62121E-1,-9.22363E-1
-3.84918E-1,-9.11621E-1
-3.96911E-1,-8.93768E-1
-4.16778E-1,-8.82019E-1
-4.5401E-1,-8.60199E-1
-4.80316E-1,-8.37921E-1
-5.03234E-1,-8.23883E-1
-5.27191E-1,-8.09265E-1
-5.54504E-1,-7.97515E-1
-5.95306E-1,-7.8125E-1
-6.16638E-1,-7.63977E-1
-6.25396E-1,-7.59246E-1
-6.42944E-1,-7.46185E-1
-6.62689E-1,-7.31597E-1
-6.82006E-1,-7.12616E-1
-6.86401E-1,-6.80877E-1
-6.88385E-1,-6.60705E-1
-7.08984E-1,-6.38610E-1
-7.25952E-1,-6.11969E-1
-7.40875E-1,-5.88043E-1
-7.51342E-1,-5.53527E-1
-7.65136E-1,-5.32165E-1
-7.97699E-1,-5.25665E-1
-8.22265E-1,-5.04547E-1
-8.31543E-1,-4.84405E-1
-8.45703E-1,-4.64111E-1
-8.58825E-1,-4.50836E-1
-8.80462E-1,-4.45739E-1
-8.87878E-1,-4.16137E-1
-8.80065E-1,-3.83087E-1
-8.89190E-1,-3.61114E-1
-9.11132E-1,-3.38897E-1
-9.20806E-1,-3.15063E-1
-9.22027E-1,-2.79876E-1
-9.18243E-1,-2.47100E-1
-9.38476E-1,-2.31750E-1
-9.6521E-1,-2.08313E-1
-9.66125E-1,-1.84509E-1
-9.59838E-1,-1.60919E-1
-9.62616E-1,-1.37451E-1
-9.77294E-1,-1.26525E-1
-9.86145E-1,-1.04553E-1
-9.69543E-1,-7.28759E-2
-9.56848E-1,-5.21850E-2
-9.63989E-1,-2.81066E-2
-9.64294E-1,-3.17382E-3
-9.61944E-1,0.29113E-1
-9.47296E-1,0.71258E-1
-9.47692E-1,0.94116E-1
-9.68475E-1,1.10717E-1
-9.68872E-1,1.35253E-1
-9.61639E-1,1.58325E-1
-9.56970E-1,1.84112E-1
-9.53857E-1,1.97082E-1
-9.60174E-1,2.10174E-1
-9.42077E-1,2.39746E-1
-9.09362E-1,2.66479E-1
-9.01641E-1,2.90924E-1
-8.89892E-1,3.19427E-1
-8.80035E-1,3.43353E-1
-8.70117E-1,3.80432E-1
-8.5495E-1,4.06982E-1
-8.57055E-1,4.23339E-1
-8.58306E-1,4.46136E-1
-8.49792E-1,4.68841E-1
-8.42529E-1,4.93469E-1
-8.27148E-1,5.12054E-1
-8.13262E-1,5.17669E-1
-7.98980E-1,5.36926E-1
-7.75054E-1,5.63659E-1
-7.56042E-1,5.83313E-1
-7.40905E-1,5.97686E-1
-7.24029E-1,6.08551E-1
-7.08892E-1,6.32415E-1
-6.875E-1,6.56860E-1
-6.71630E-1,6.72699E-1
-6.58264E-1,6.87194E-1
-6.40350E-1,7.03796E-1
-6.18743E-1,7.24700E-1
-5.97320E-1,7.43469E-1
-5.82153E-1,7.48046E-1
-5.68786E-1,7.59246E-1
-5.44769E-1,7.74353E-1
-5.22583E-1,7.85125E-1
-4.99633E-1,7.95013E-1
-4.74975E-1,7.98675E-1
-4.52575E-1,8.11706E-1
-4.22058E-1,8.35418E-1
-3.95019E-1,8.48968E-1
-3.76617E-1,8.60839E-1
-3.53332E-1,8.72436E-1
-3.32885E-1,8.86566E-1
-3.10150E-1,9.04693E-1
-2.84301E-1,9.08905E-1
-2.63427E-1,9.09179E-1
-2.38006E-1,9.14093E-1
-2.10449E-1,9.14398E-1
-1.84692E-1,9.18243E-1
-1.54357E-1,9.18426E-1
-1.27716E-1,9.17236E-1
-1.00280E-1,9.21661E-1
-7.11975E-2,9.22943E-1
-4.58068E-2,9.23248E-1
-1.78222E-2,9.25262E-1
0.10223E-1,9.24713E-1
0.40283E-1,9.25781E-1
0.67138E-1,9.23950E-1
0.88745E-1,9.19189E-1
1.11938E-1,9.16931E-1
1.38031E-1,9.10095E-1
1.61926E-1,9.03656E-1
1.86767E-1,8.94714E-1
2.06481E-1,8.83941E-1
2.32025E-1,8.76678E-1
