NA, FW_VERSION, FW_DATE 
HP8722ES,07.74,"Oct 30, 2002"
DATE, TIME,
"30 May 2012 ","16:13:55",
CHAN,MEAS,FORMAT
1,S11,SMITH
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,4500000000,
POINTS, POWER, IF_BW
201,-1.001E1,3000
FREQUENCY,UNITS,UNITS
Hz,ohms,ohms
50000000, 0.3819E+2,-1.6189E+3
72250000, 1.2494E+2,-1.2679E+3
94500000,-1.6875E+1,-1.0978E+3
116750000,-7.0156E+1,-8.5728E+2
139000000,-5.5406E+1,-6.86E+2
161250000,-1.0228E+2,-5.1647E+2
183500000,-7.5953E+1,-4.2934E+2
205750000,-4.4281E+1,-4.0483E+2
228000000,-4.0125E+1,-3.6117E+2
250250000,-1.5734E+1,-3.1534E+2
272500000,-2.25E+0,-2.8498E+2
294750000, 0.6969E+1,-2.5955E+2
317000000, 1.9961E+1,-2.3748E+2
339250000, 1.4844E+1,-2.1877E+2
361500000, 0.8734E+1,-1.942E+2
383750000, 0.7586E+1,-1.8063E+2
406000000, 0.1547E+1,-1.7292E+2
428250000, 0.057E+1,-1.6206E+2
450500000,-1.6875E+0,-1.5352E+2
472750000,-4.7266E+0,-1.4381E+2
495000000,-2.4922E+0,-1.3752E+2
517250000,-1.6328E+0,-1.329E+2
539500000,-1.6523E+0,-1.2646E+2
561750000, 0.3242E+0,-1.1904E+2
584000000, 1.0391E+0,-1.135E+2
606250000, 3.5078E+0,-1.0779E+2
628500000, 3.9492E+0,-1.0327E+2
650750000, 2.7266E+0,-9.8242E+1
673000000, 2.6563E+0,-9.3691E+1
695250000, 3.0078E+0,-9.0277E+1
717500000, 2.7773E+0,-8.6656E+1
739750000, 1.793E+0,-8.3559E+1
762000000,-4.2969E-1,-8.0449E+1
784250000,-1.1719E-1,-7.8066E+1
806500000, 1.2344E+0,-7.6898E+1
828750000, 1.1055E+0,-7.4699E+1
851000000, 1.3047E+0,-7.2121E+1
873250000, 1.4023E+0,-6.9938E+1
895500000, 2.2383E+0,-6.7031E+1
917750000, 3.3281E+0,-6.4922E+1
940000000, 2.7246E+0,-6.2793E+1
962250000, 1.7422E+0,-6.0266E+1
984500000, 1.5176E+0,-5.817E+1
1006750000, 1.2852E+0,-5.5729E+1
1029000000, 1.1328E+0,-5.4098E+1
1051250000, 0.5195E+0,-5.4037E+1
1073500000, 0.0527E+0,-5.2936E+1
1095750000, 0.6777E+0,-5.1092E+1
1118000000, 0.9473E+0,-4.9514E+1
1140250000, 1.1738E+0,-4.8264E+1
1162500000, 1.1738E+0,-4.7594E+1
1184750000, 1.2734E+0,-4.599E+1
1207000000, 1.7676E+0,-4.3725E+1
1229250000, 1.8086E+0,-4.232E+1
1251500000, 1.3086E+0,-4.1125E+1
1273750000, 1.1348E+0,-4.0033E+1
1296000000, 0.7949E+0,-3.8908E+1
1318250000, 0.7109E+0,-3.7615E+1
1340500000, 0.6152E+0,-3.6789E+1
1362750000, 0.2012E+0,-3.5887E+1
1385000000, 0.2715E+0,-3.4826E+1
1407250000, 0.3418E+0,-3.4043E+1
1429500000, 0.3848E+0,-3.3129E+1
1451750000, 0.7988E+0,-3.2475E+1
1474000000, 0.8838E+0,-3.1635E+1
1496250000, 0.96E+0,-3.0103E+1
1518500000, 1.1846E+0,-2.8917E+1
1540750000, 1.1807E+0,-2.7979E+1
1563000000, 1.1309E+0,-2.7028E+1
1585250000, 0.917E+0,-2.6066E+1
1607500000, 0.5537E+0,-2.4701E+1
1629750000, 0.543E+0,-2.3843E+1
1652000000, 0.4883E+0,-2.3533E+1
1674250000, 0.4307E+0,-2.2867E+1
1696500000, 0.3643E+0,-2.2131E+1
1718750000, 0.3828E+0,-2.1315E+1
1741000000, 0.9678E+0,-2.0537E+1
1763250000, 1.3389E+0,-2.0042E+1
1785500000, 1.3232E+0,-1.9125E+1
1807750000, 1.4453E+0,-1.8199E+1
1830000000, 1.54E+0,-1.7363E+1
1852250000, 1.8994E+0,-1.6355E+1
1874500000, 1.918E+0,-1.5604E+1
1896750000, 1.2305E+0,-1.4941E+1
1919000000, 9.5605E-1,-1.4071E+1
1941250000, 1.021E+0,-1.3449E+1
1963500000, 9.5068E-1,-1.276E+1
1985750000, 7.998E-1,-1.2271E+1
2008000000, 3.2568E-1,-1.1885E+1
2030250000, 4.9414E-1,-1.1084E+1
2052500000, 1.0513E+0,-1.0351E+1
2074750000, 1.0562E+0,-9.7012E+0
2097000000, 7.1582E-1,-8.938E+0
2119250000, 6.9043E-1,-8.2578E+0
2141500000, 9.4336E-1,-7.3574E+0
2163750000, 1.2803E+0,-6.5376E+0
2186000000, 8.6377E-1,-6.0105E+0
2208250000, 3.1885E-1,-5.2634E+0
2230500000, 4.082E-1,-4.6611E+0
2252750000, 6.8945E-1,-4.0818E+0
2275000000, 6.969E-1,-3.4672E+0
2297250000, 3.5132E-1,-3.144E+0
2319500000, 1.9177E-1,-2.562E+0
2341750000, 6.8781E-1,-1.793E+0
2364000000, 1.0514E+0,-1.2797E+0
2386250000, 8.9932E-1,-6.373E-1
2408500000, 8.8986E-1,-3.1128E-3
2430750000, 9.5035E-1, 8.4161E-1
2453000000, 1.2863E+0, 1.9661E+0
2475250000, 1.2264E+0, 2.5688E+0
2497500000, 6.4124E-1, 2.943E+0
2519750000, 5.4932E-1, 3.5702E+0
2542000000, 6.4648E-1, 4.1848E+0
2564250000, 6.5381E-1, 4.876E+0
2586500000, 6.5869E-1, 5.219E+0
2608750000, 4.3042E-1, 5.5168E+0
2631000000, 7.1338E-1, 6.3713E+0
2653250000, 1.3687E+0, 7.2776E+0
2675500000, 1.374E+0, 7.969E+0
2697750000, 1.4336E+0, 8.8013E+0
2720000000, 1.4604E+0, 9.5015E+0
2742250000, 1.3306E+0, 1.0542E+1
2764500000, 1.4189E+0, 1.1377E+1
2786750000, 1.1733E+0, 1.1768E+1
2809000000, 8.667E-1, 1.2314E+1
2831250000, 7.9199E-1, 1.2976E+1
2853500000, 6.4111E-1, 1.367E+1
2875750000, 7.4023E-1, 1.4323E+1
2898000000, 9.8877E-1, 1.4667E+1
2920250000, 1.0269E+0, 1.5344E+1
2942500000, 1.1641E+0, 1.6362E+1
2964750000, 1.2666E+0, 1.7147E+1
2987000000, 1.3799E+0, 1.7762E+1
3009250000, 1.5684E+0, 1.8329E+1
3031500000, 1.4736E+0, 1.9189E+1
3053750000, 1.4648E+0, 2.0182E+1
3076000000, 1.4805E+0, 2.0871E+1
3098250000, 1.459E+0, 2.1476E+1
3120500000, 1.4775E+0, 2.2238E+1
3142750000, 1.4375E+0, 2.3178E+1
3165000000, 1.4404E+0, 2.4088E+1
3187250000, 1.6357E+0, 2.4539E+1
3209500000, 1.627E+0, 2.5113E+1
3231750000, 1.7061E+0, 2.6068E+1
3254000000, 1.8438E+0, 2.6904E+1
3276250000, 2.0176E+0, 2.7747E+1
3298500000, 2.3896E+0, 2.854E+1
3320750000, 2.417E+0, 2.9468E+1
3343000000, 2.2158E+0, 3.0875E+1
3365250000, 2.252E+0, 3.1998E+1
3387500000, 2.1758E+0, 3.2803E+1
3409750000, 2.166E+0, 3.3793E+1
3432000000, 1.9844E+0, 3.4732E+1
3454250000, 1.6484E+0, 3.583E+1
3476500000, 1.8398E+0, 3.6855E+1
3498750000, 2.1211E+0, 3.7678E+1
3521000000, 2.25E+0, 3.8736E+1
3543250000, 2.582E+0, 3.9881E+1
3565500000, 2.7246E+0, 4.1021E+1
3587750000, 3.0449E+0, 4.2365E+1
3610000000, 3.3789E+0, 4.3566E+1
3632250000, 3.4219E+0, 4.4906E+1
3654500000, 3.5918E+0, 4.632E+1
3676750000, 3.7422E+0, 4.7611E+1
3699000000, 3.8027E+0, 4.9057E+1
3721250000, 3.9316E+0, 5.0559E+1
3743500000, 3.9492E+0, 5.2229E+1
3765750000, 4.0742E+0, 5.3744E+1
3788000000, 4.3574E+0, 5.5023E+1
3810250000, 4.4551E+0, 5.6434E+1
3832500000, 4.8223E+0, 5.81E+1
3854750000, 5.1152E+0, 5.9693E+1
3877000000, 5.5547E+0, 6.1408E+1
3899250000, 6.1699E+0, 6.2859E+1
3921500000, 6.4648E+0, 6.4777E+1
3943750000, 6.6836E+0, 6.7023E+1
3966000000, 7.0625E+0, 6.923E+1
3988250000, 7.1602E+0, 7.1828E+1
4010500000, 7.4531E+0, 7.4293E+1
4032750000, 7.0742E+0, 7.6074E+1
4055000000, 6.9258E+0, 7.8527E+1
4077250000, 7.8906E+0, 8.134E+1
4099500000, 8.8398E+0, 8.4168E+1
4121750000, 9.4492E+0, 8.6965E+1
4144000000, 1.0121E+1, 8.9309E+1
4166250000, 1.0852E+1, 9.2457E+1
4188500000, 1.266E+1, 9.6559E+1
4210750000, 1.4113E+1, 1.003E+2
4233000000, 1.4941E+1, 1.0436E+2
4255250000, 1.6078E+1, 1.0836E+2
4277500000, 1.6773E+1, 1.1294E+2
4299750000, 1.7992E+1, 1.1836E+2
4322000000, 1.975E+1, 1.2367E+2
4344250000, 2.1313E+1, 1.2973E+2
4366500000, 2.3461E+1, 1.3607E+2
4388750000, 2.5211E+1, 1.4208E+2
4411000000, 2.7273E+1, 1.4909E+2
4433250000, 3.0531E+1, 1.5493E+2
4455500000, 3.3141E+1, 1.5935E+2
4477750000, 3.4398E+1, 1.6295E+2
4500000000, 3.5563E+1, 1.6541E+2

